tick,,price,,
225, WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,101.01,,
226, WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,100.97,,
228, WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,100.86,,
229, WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,100.89,,
231, WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,100.81,,
232, WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,100.78,,
234, WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,100.92,,
235, WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,100.98,,
237, WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,100.98,,
238, PIPELINE COST FOR CUSHING TO NYC BACK TO $20000 PER LEASE.-PIPELINE COST FOR CUSHING TO NYC BACK TO $20000 PER LEASE.,100.97,,
240, WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,101.01,Up,
241, WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,101.09,,
243, WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,101.12,,
244, WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,101.23,,
246, WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,101.39,,
247, WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,101.45,,
249, WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,101.42,,
250, WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,101.42,,
252, WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,101.36,,
253, WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,101.46,,
